STATION,STATION_NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790325,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790326,-9999,-9999,-9999,-9999,-9999,29
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790327,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790328,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790329,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790330,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790331,-9999,-9999,-9999,-9999,-9999,6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790401,-9999,-9999,-9999,-9999,-9999,-1
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790402,0.10,-9999,-9999,-9999,-9999,2
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790403,0.00,-9999,-9999,-9999,-9999,19
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790404,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790405,-9999,-9999,-9999,-9999,-9999,37
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790406,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790407,-9999,-9999,-9999,-9999,-9999,14
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790408,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790409,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790410,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790411,-9999,-9999,-9999,-9999,-9999,6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790412,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790413,-9999,-9999,-9999,-9999,-9999,14
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790414,-9999,-9999,-9999,-9999,-9999,32
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790415,-9999,-9999,-9999,-9999,-9999,31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790416,-9999,-9999,-9999,-9999,-9999,37
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790417,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790418,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790419,-9999,-9999,-9999,-9999,-9999,10
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790420,0.10,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790421,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790422,-9999,-9999,-9999,-9999,-9999,33
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790423,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790424,-9999,-9999,-9999,-9999,-9999,26
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790425,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790426,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790427,-9999,-9999,-9999,-9999,-9999,32
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790428,-9999,-9999,-9999,-9999,-9999,35
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790429,-9999,-9999,-9999,-9999,-9999,25
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790430,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790501,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790502,-9999,-9999,-9999,-9999,-9999,19
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790503,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790504,-9999,-9999,-9999,-9999,-9999,43
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790505,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790506,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790507,-9999,-9999,-9999,-9999,-9999,25
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790508,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790509,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790510,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790511,-9999,-9999,-9999,-9999,-9999,23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790512,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790513,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790514,-9999,-9999,-9999,-9999,-9999,31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790515,-9999,-9999,-9999,-9999,-9999,36
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790516,-9999,-9999,-9999,-9999,-9999,34
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790517,-9999,-9999,-9999,-9999,-9999,33
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790518,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790519,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790520,-9999,-9999,-9999,-9999,-9999,37
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790521,-9999,-9999,-9999,-9999,-9999,32
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790522,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790523,-9999,-9999,-9999,-9999,-9999,37
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790524,-9999,-9999,-9999,-9999,-9999,33
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790525,-9999,-9999,-9999,-9999,-9999,36
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790526,-9999,-9999,-9999,-9999,-9999,36
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790527,-9999,-9999,-9999,-9999,-9999,37
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790528,-9999,-9999,-9999,-9999,-9999,25
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790529,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790530,-9999,-9999,-9999,-9999,-9999,19
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790531,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790601,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790602,-9999,-9999,-9999,-9999,-9999,37
